Position-Anforderungsspezifikation,ReqID,Komponente,Schablone,Variante,Gruppe,Tag,Stakeholder,Gruppe (ALT),Tag (ALT),Anforderung,Trace auf ReqID,Anmerkung,Status,Aktuell / Zukunft / Ignore,Release,Req-Key (ALT)
2.5 System-Funktionalität,335,HARMONY,Stakeholderanforderung,,Portierbarkeit,HARMONY betreiben,Anwendungsbetreiber,Portierbarkeit,Betrieb in Isolation,"Der Anwendungsbetreiber fordert für den Betrieb der Anwendung, dass die Anwendung in Isolation laufen muss, damit sie nicht mit anderen Anwendungen im Konflikt steht.",,,Umgesetzt,A,1,D-1
2.5 System-Funktionalität,336,HARMONY,Stakeholderanforderung,,Portierbarkeit,HARMONY betreiben,Anwendungsbetreiber,Portierbarkeit,Reproduzierbare Bereitstellung der Anwendung,"Der Anwendungsbetreiber fordert, dass die Bereitstellung der Anwendung und ihrer Abhängigkeiten sowie Standardkonfigurationen reproduzierbar sein muss, damit der Betrieb und die Integration der Anwendung in verschiedenen Umgebungen möglich ist.",,,Umgesetzt,A,1,D-2
2.5 System-Funktionalität,339,HARMONY,Stakeholderanforderung,,Portierbarkeit,Konfigurationen,Anwendungsbetreiber,Portierbarkeit,Bereitstellung von Standardkonfigurationen,"Der Anwendungsbetreiber fordert, dass die Bereitstellung der Anwendung und ihrer Abhängigkeiten mit einer Standardkonfiguration möglich sein muss, damit der Aufwand beim Aufsetzen der Anwendung möglichst klein gehalten wird.",,,Umgesetzt,A,1,D-3
2.5 System-Funktionalität,410,"HARMONY, EIFFEL",Stakeholderanforderung,,Bedienbarkeit,Anforderung eingeben,Anwender,Bedienbarkeit,Verwendung ohne Kenntnis des Schablonenaufbaus,"Der Anwender fordert, dass er die Lösung zur Anforderungsdokumentation ohne Kenntnis des internen Aufbaus der Schablonen einsetzen können muss, weil dies keine notwendige Vorbedingung für den Einsatz der Lösung sein darf.",,,Umgesetzt,A,1,D-25
2.5 System-Funktionalität,409,"HARMONY, EIFFEL",Stakeholderanforderung,,Bedienbarkeit,Anforderung prüfen,Anwender,Bedienbarkeit,Unterstützung der Anforderungsdokumentation,"Der Anwender fordert, dass ihn eine Lösung zur Anforderungsdokumentation beim korrekten Formulieren von Anforderungen unterstützen muss, weil dies die Rechtfertigung für den Einsatz der Lösung darstellt.",,,Umgesetzt,A,1,D-24
2.5 System-Funktionalität,405,"HARMONY, EIFFEL",Stakeholderanforderung,,Bedienbarkeit,Benutzerfreundlichkeit,Anwender,Bedienbarkeit,Einfach bedienbar,"Der Anwender fordert, dass eine Lösung zum Dokumentieren von Anforderungen mit PARIS ohne Schulung und Handbuch verwendbar sein muss.",,,Umgesetzt,A,1,D-20
2.5 System-Funktionalität,499,"HARMONY, EIFFEL",Stakeholderanforderung,,Bedienbarkeit,Benutzerfreundlichkeit,Seminarteilnehmer,,,"Die Seminarteilnehmer fordern auf Nachfrage in den PARIS-Seminaren, dass eine Werkzeugunterstützung über die Tastatur zu bedienen sein soll, weil man bei der Massenerfassung von Anforderungen nicht immer zur Maus greifen will, um auf das nächste Eingsabfeld zu springen.","209, 232, 210, 171",,Umgesetzt,A,1,
2.5 System-Funktionalität,501,"HARMONY, EIFFEL",Stakeholderanforderung,,Bedienbarkeit,Benutzerfreundlichkeit,Seminarteilnehmer,,,"Die Seminarteilnehmer fordern auf Nachfrage in den PARIS-Seminaren, dass eine Werkzeugunterstützung den Anwender durch Hilfestellungen dabei unterstützen soll, Anforderungen zu formulieren, damit man nicht ständig die Referenzdokumentation von PARIS verwenden muss.","410, 409, 297, 405, 170, 113, 114, 115, 116, 230",,Umgesetzt,A,1,
2.5 System-Funktionalität,502,"HARMONY, EIFFEL",Stakeholderanforderung,,Bedienbarkeit,Benutzerfreundlichkeit,Seminarteilnehmer,,,"Die Seminarteilnehmer fordern auf Nachfrage in den PARIS-Seminaren, dass eine Werkzeugunterstützung eingegebene Anforderungen auf Fehler nach der verwendeten Schablone überprüfen können soll, weil die Benutzung der Schablone dadurch erleichtert und Fehlerquellen in der Formulierung reduziert werden.","409, 374, 470, 369, 355",,Umgesetzt,A,1,
2.5 System-Funktionalität,422,"HARMONY, EIFFEL",Stakeholderanforderung,,Bedienbarkeit,Benutzung Browser,Anwender,Bedienbarkeit,Benutzung Firefox Browser,"Der Anwender fordert, dass das System HARMONY mit dem Browser Firefox benutzt werden kann.",,,Umgesetzt,A,1,D-32
2.5 System-Funktionalität,423,"HARMONY, EIFFEL",Stakeholderanforderung,,Bedienbarkeit,Benutzung Browser,Anwender,Bedienbarkeit,Benutzung Chromium Browser,"Der Anwender fordert, dass das System HARMONY mit den Varianten des Browsers Chromium benutzt werden kann.",,,Umgesetzt,A,1,D-33
2.5 System-Funktionalität,498,"HARMONY, EIFFEL",Stakeholderanforderung,,Bedienbarkeit,HARMONY betreiben,Seminarteilnehmer,,,"Die Seminarteilnehmer fordern auf Nachfrage in den PARIS-Seminaren, dass eine Werkzeugunterstützung in Kombination mit anderen, existierenden RE-Werkzeugen einsetzbar sein soll, weil man schon Tools im Einsatz hat und um sich nicht zu fest an eine Lösung zu binden.","406, 407",,Umgesetzt,A,1,
2.5 System-Funktionalität,418,"HARMONY, EIFFEL",Stakeholderanforderung,,Bedienbarkeit,Hinweis über HARMONY,HARMONY-Betreuer,Bedienbarkeit,Kein Hinweis auf Hochschule der Abschlussarbeit,"Der HARMONY-Betreuer fordert, dass das System HARMONY keine Information darüber enthält, dass es im Rahmen einer Abschlussarbeit an der FOM entstanden ist, da dies rechtliche Probleme verursachen könnte.",,,Umgesetzt,A,1,D-30
2.5 System-Funktionalität,415,"HARMONY, EIFFEL",Stakeholderanforderung,,Bedienbarkeit,Hinweis über HARMONY,Product Owner,Bedienbarkeit,Hinweis Forschungsprojekt,"Der Product Owner fordert, dass das System HARMONY einen Hinweis erhält, dass es als Prototyp im Rahmen eines Forschungsprojekts entstanden ist.",,,Umgesetzt,A,1,D-27
2.5 System-Funktionalität,416,"HARMONY, EIFFEL",Stakeholderanforderung,,Bedienbarkeit,Hinweis über HARMONY,Product Owner,Bedienbarkeit,Hinweis kein ausgereiftes Produkt,"Der Product Owner fordert, dass das System HARMONY einen Hinweis erhält, dass HARMONY nicht den Anspruch hat, den Ansprüchen eines ausgereiften Produkts zu genügen.",,,Umgesetzt,A,1,D-28
2.5 System-Funktionalität,417,"HARMONY, EIFFEL",Stakeholderanforderung,,Bedienbarkeit,Hinweis über HARMONY,Product Owner,Bedienbarkeit,Hinweis Nutzung auf eigene Gefahr,"Der Product Owner fordert, dass das System HARMONY einen Hinweis erhält, dass die Nutzung von HARMONY auf eigene Gefahr erfolgt.",,,Umgesetzt,A,1,D-29
2.5 System-Funktionalität,419,"HARMONY, EIFFEL",Stakeholderanforderung,,Bedienbarkeit,Hinweis über HARMONY,Product Owner,Bedienbarkeit,Hinweis keine serverseitige Speicherung,"Der Product Owner fordert, dass das System HARMONY einen Hinweis erhält, dass die mit dem System erstellten Anforderungen nicht auf dem Server gespeichert werden, um Datenschutzprobleme zu vermeiden.",,,Umgesetzt,A,1,D-31
2.5 System-Funktionalität,406,"HARMONY, EIFFEL",Stakeholderanforderung,,Bedienbarkeit,Integration mit anderen Lösungen,Anwender,Bedienbarkeit,Integration in RE-Lösungen,"Der Anwender fordert, dass die mit einer Lösung zur Anforderungsdokumentation erstellten Anforderung möglichst einfach in ein Tool seiner Wahl übernommen werden können muss, damit er den firmeneigenen Vorgaben für ein Anforderungsmanagement-Tool entspricht.",,,Umgesetzt,A,1,D-21
2.5 System-Funktionalität,407,"HARMONY, EIFFEL",Stakeholderanforderung,,Bedienbarkeit,Integration mit anderen Lösungen,Anwender,Bedienbarkeit,Integration in RE-Lösungen,"Der Anwender fordert, dass die mit einer Lösung zur Anforderungsdokumentation erstellte Anforderung möglichst einfach in ein Office-Produkt wie Excel oder Word übernommen werden können muss, weil dies im Unternehmen die einzige verwendete Lösung für das Anforderungsmanagement ist.",,,Umgesetzt,A,1,D-22
2.5 System-Funktionalität,500,"HARMONY, EIFFEL",Stakeholderanforderung,,Betrieb,Datenbank anbinden,Seminarteilnehmer,,,"Die Seminarteilnehmer fordern auf Nachfrage in den PARIS-Seminaren, dass eine Werkzeugunterstützung Anforderungen nicht serverseitig in einer Datenbank speichern soll, weil Anforderungen unternehmenskritische Informationen enthalten und Sicherheitsbedenken vermieden werden sollen.","419, 427, 440",,Umgesetzt,A,1,
2.5 System-Funktionalität,497,"HARMONY, EIFFEL",Stakeholderanforderung,,Betrieb,HARMONY administrieren,Seminarteilnehmer,,,"Die Seminarteilnehmer fordern auf Nachfrage in den PARIS-Seminaren, dass eine Werkzeugunterstützung einfach zu installieren sein können soll, damit auch Laien ohne umfassende IT-Kenntnisse die Lösung einsetzen können.","340, 330, 338",,Umgesetzt,A,1,
2.5 System-Funktionalität,504,"HARMONY, EIFFEL",Stakeholderanforderung,,Betrieb,HARMONY betreiben,Seminarteilnehmer,,,"Die Seminarteilnehmer fordern auf Nachfrage in den PARIS-Seminaren, dass eine Werkzeugunterstützung nicht auf mobilen Endgeräten lauffähig sein muss, weil in Projekten im Requirements Engineering Desktop-Rechner eingesetzt werden.",420,,Umgesetzt,A,1,
2.5 System-Funktionalität,505,"HARMONY, EIFFEL",Stakeholderanforderung,,Betrieb,HARMONY betreiben,Seminarteilnehmer,,,"Die Seminarteilnehmer fordern auf Nachfrage in den PARIS-Seminaren, dass eine Werkzeugunterstützung einen niedrigen Bedarf an Systemressourcen (Festplattenspeicher, Arbeitsspeicher) haben soll, damit man die Lösung auch auf leistungsschwachen Systemen einsetzen kann.","273, 274, 275, 279",,Umgesetzt,A,1,
2.5 System-Funktionalität,496,"HARMONY, EIFFEL",Stakeholderanforderung,,Schablonenverwaltung,HARMONY anpassen,Seminarteilnehmer,,,"Die Seminarteilnehmer fordern auf Nachfrage in den PARIS-Seminaren, dass eine Werkzeugunterstützung an andere Schablonen angepasst werden können soll, weil sich die Anforderungen ändern können und man vielleicht eigene Anforderungen anlegen will.","351, 111",,Umgesetzt,A,1,
2.5 System-Funktionalität,494,"HARMONY, EIFFEL",Stakeholderanforderung,,Schablonenverwaltung,HARMONY betreiben,Seminarteilnehmer,,,"Die Seminarteilnehmer fordern auf Nachfrage in den PARIS-Seminaren, dass eine Werkzeugunterstützung alle PARIS-Schablonen enthalten soll, weil nur dadurch eine erhebliche Arbeitserleicherung entsteht.","442, 457",,Umgesetzt,A,1,
2.5 System-Funktionalität,506,"HARMONY, EIFFEL",Stakeholderanforderung,,Wartbarkeit,Anpassungsfähigkeit/Interdisziplinär,Product Owner,,,"Der Product Owner fordert, dass sich die Oberfläche einer Werkzeugunterstützung selbständig an den Aufbau der Schablone anpassen soll, damit man bei neuen Schablonen das Werkzeug nicht anpassen muss.","317, 318, 371, 167, 169, 170",,Umgesetzt,A,1,
2.5 System-Funktionalität,507,"HARMONY, EIFFEL",Stakeholderanforderung,,Wartbarkeit,Anpassungsfähigkeit/Interdisziplinär,Product Owner,,,"Der Product Owner fordert, dass der Quellcode einer Werkzeugunterstützung als Open Source zur Verfügung stehen soll, weil dies die Akzeptanz der Lösung erhöht.","379, 508",,Umgesetzt,A,1,
2.5 System-Funktionalität,508,"HARMONY, EIFFEL",Stakeholderanforderung,,Wartbarkeit,Anpassungsfähigkeit/Interdisziplinär,Product Owner,,,"Der Product Owner fordert, dass eine Werkzeugunterstützung durch weitere Abschlussarbeiten erweiterbar sein soll, damit die Abschlussarbeiten aufeinander aufbauen.",379,,Umgesetzt,A,1,
3.1 Funktionale Anforderungen,305,EIFFEL,ESFA,Benutzeranforderung,Anforderungsausgabe,Anforderungen Ausgabe-Stream,Anwender,Anforderungen ausgeben,Ausgabe-Stream,"Falls ein Anwender eine Anforderung geprüft hat und die Anforderung der Schablone entspricht, muss das System EIFFEL selbstständig die Anforderung auf dem Gerät des Anwenders speichern, damit die Anforderung nicht beim Neuladen der Seite verloren geht.",,,Umgesetzt,A,1,A-3-43
3.1 Funktionale Anforderungen,306,EIFFEL,ESFA,Selbständige Systemaktivität,Anforderungsausgabe,Anforderungen Ausgabe-Stream,Anwender,Anforderungen ausgeben,Ausgabe-Stream darstellen,"Falls eine Anforderung nach der Prüfung auf dem Gerät des Anwenders gespeichert wurde, muss das System EIFFEL selbständig die neue Anforderung in einer Listendarstellung der letzten 150 Anforderungen auf dem Gerät des Anwenders anzeigen, weil der Anwender eine vorherige Anforderung kopieren möchte.",,,Umgesetzt,A,1,A-3-44
3.1 Funktionale Anforderungen,307,EIFFEL,ESFA,Benutzeranforderung,Anforderungsausgabe,Anforderungen Ausgabe-Stream,Anwender,Anforderungen ausgeben,Ausgabe-Stream darstellen,"Falls Anforderungen auf dem Gerät des Anwenders gespeichert wurden, muss das System EIFFEL dem Anwender ermöglichen, die letzten 150 gespeicherten Anforderungen in einer Listendarstellung anzuzeigen.",,,Umgesetzt,A,1,A-3-45
3.1 Funktionale Anforderungen,308,EIFFEL,ESFA,Benutzeranforderung,Anforderungsausgabe,Anforderungen Ausgabe-Stream,Anwender,Anforderungen ausgeben,Kopieren von Anforderungen Ausgabe-Stream,"Falls der Anwender die Listendarstellung der letzten 150 Anforderungen ansieht, muss das System EIFFEL dem Anwender ermöglichen, eine beliebige Anforderung aus der Liste per Mausklick in die Zwischenablage des Betriebssystems zu kopieren, damit der Anwender in den erfassten Anforderungen zurückspringen kann.",,,Umgesetzt,A,1,A-3-46
3.1 Funktionale Anforderungen,309,EIFFEL,ESFA,Benutzeranforderung,Anforderungsausgabe,Anforderungen Ausgabe-Stream,Anwender,Anforderungen ausgeben,Ausgabe-Stream leeren,"Das System EIFFEL muss dem Anwender ermöglichen, die letzten 150 Anforderungen, die auf dem Gerät des Anwenders gespeichert sind, zu löschen, damit die Liste der letzten Anforderungen für mehr Übersichtlichkeit bereinigt werden kann.",,,Umgesetzt,A,1,A-3-47
3.1 Funktionale Anforderungen,353,EIFFEL,ESFA,Selbständige Systemaktivität,Anforderungsausgabe,Anforderungen Ausgabe-Stream,Anwender,Anforderungen ausgeben,Hinweis aktuelle Anzahl Anforderungen,"Das System EIFFEL soll selbständig die Anzahl der Anforderungen, die auf dem Gerät des Anwenders gespeichert sind, im Verhältnis zur Anzahl maximal speicherbarer Anforderungen anzeigen (z.B. 111/150), damit der Anwender benutzerfreundlich über die Anzahl aktuell im Speicher befindlicher Anforderungen informiert wird.",,,Umgesetzt,A,1,A-3-50
